CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.cellVoltage3 [V],BATTERY.cellVoltage4 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
9/29/2024,3:00:43.64 PM,0m 0.0s,0.0,55.3539681478155,13.42132614331,0,0,,0,0,0,0,0,0,0,0,0,0,2.8,0.3,-9.7,350.3,,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,True,,Mavic 2,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-14.7,345.3,False,False,False,False,False,True,,True,Needs Formatted,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,,14.96,,,14.96,False,3.739,3.745,3.744,3.732,0.013,False,False,,,,,,,,,,,,,Idle,,,,,,0,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,iOS,4.3.64,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,216.3,2175.9,392.7,31.641516,9.171454,0,164,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,,iOS,4.3.64,111C2313-DD9C-4E0D-B5A9-A6F7704ADE73,0M63G820H1V008,0K8HFB801103C3,,0VELF7E10601P2,0P2AF8T534023X,55.3539833491175,13.4211793411548,6.0009,Flight mode changed to Starting Motors.,
9/29/2024,3:00:43.74 PM,0m 0.1s,0.1,55.3539681411375,13.4213261429182,0,0,,0,0,0,0,0,0,0,0,0,0,2.8,0.3,-9.7,350.3,,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,True,,Mavic 2,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-14.7,345.3,False,False,False,False,False,True,,True,Needs Formatted,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,,14.96,,,14.96,False,3.739,3.745,3.744,3.732,0.013,False,False,,,,,,,,,,,,,Idle,,,,,,0,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,iOS,4.3.64,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,216.3,2175.9,392.7,31.641516,9.171454,0,164,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,,iOS,4.3.64,111C2313-DD9C-4E0D-B5A9-A6F7704ADE73,0M63G820H1V008,0K8HFB801103C3,,0VELF7E10601P2,0P2AF8T534023X,55.3539833491175,13.4211793411548,6.0009,,
9/29/2024,3:00:43.84 PM,0m 0.2s,0.2,55.3539681496799,13.4213261445872,0,0,,0,0,0,0,0,0,0,0,0,0,2.8,0.3,-9.7,350.3,,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,True,,Mavic 2,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-14.7,345.3,False,False,False,False,False,True,,True,Needs Formatted,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,,14.96,,,14.96,False,3.739,3.745,3.744,3.732,0.013,False,False,,,,,,,,,,,,,Idle,,,,,,0,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,iOS,4.3.64,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,216.3,2175.9,392.7,31.641516,9.171454,0,164,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,,iOS,4.3.64,111C2313-DD9C-4E0D-B5A9-A6F7704ADE73,0M63G820H1V008,0K8HFB801103C3,,0VELF7E10601P2,0P2AF8T534023X,55.3539833491175,13.4211793411548,6.0009,,
9/29/2024,3:00:43.94 PM,0m 0.3s,0.3,55.353968143608,13.4213261464784,0,0,,0,0,0,0,0,0,0,0,0,0,2.8,0.3,-9.7,350.3,,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,True,,Mavic 2,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-14.7,345.3,False,False,False,False,False,True,,True,Needs Formatted,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,36,14.96,,,14.897,False,3.739,3.745,3.744,3.732,0.013,False,False,,,,,,1,,,10,5986.6,1535.04,,Idle,,25,,10,,0,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,55.3539612483092,13.4213247978412,2.5,,984.2,True,1,1,False,False,False,False,,False,False,False,Course Lock,98.4,31,16.4,18,,,,,Calm,False,False,iOS,4.3.64,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,216.3,2175.9,392.7,31.641516,9.171454,0,164,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,,iOS,4.3.64,111C2313-DD9C-4E0D-B5A9-A6F7704ADE73,0M63G820H1V008,0K8HFB801103C3,,0VELF7E10601P2,0P2AF8T534023X,55.3539833491175,13.4211793411548,6.0009,Data Recorder File Index is 18.; Set Return to Home (RTH) altitude to 30 m (98 ft).; Set maximum flight altitude to 300 m (984 ft).,
9/29/2024,3:00:44.04 PM,0m 0.4s,0.4,55.3539681515486,13.4213261449922,0,0,,0,0,0,0,0,0,0,0,0,0,2.8,0.3,-9.7,350.3,,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,True,,Mavic 2,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-14.7,345.3,False,False,False,False,False,True,,True,Needs Formatted,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,36,14.96,,,14.897,False,3.739,3.745,3.744,3.732,0.013,False,False,,,,,,1,,,10,5986.6,1535.04,,Idle,,25,,10,,0,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,55.3539612483092,13.4213247978412,2.5,,984.2,True,1,1,False,False,False,False,,False,False,False,Course Lock,98.4,31,16.4,18,,,,,Calm,False,False,iOS,4.3.64,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,216.3,2175.9,392.7,31.641516,9.171454,0,164,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,,iOS,4.3.64,111C2313-DD9C-4E0D-B5A9-A6F7704ADE73,0M63G820H1V008,0K8HFB801103C3,,0VELF7E10601P2,0P2AF8T534023X,55.3539833491175,13.4211793411548,6.0009,,
9/29/2024,3:00:44.14 PM,0m 0.5s,0.5,55.353968146795,13.4213261460922,0,0,,0,0,0,0,0,0,0,0,0,0,2.8,0.3,-9.7,350.3,,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,True,,Mavic 2,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-14.7,345.3,False,False,False,False,False,True,,True,Needs Formatted,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,36,14.779,1025,2901,14.897,False,3.694,3.704,3.7,3.681,0.023,False,False,3.448,113.5,113.5,113.5,,1,,,10,5986.6,1535.04,,Idle,,25,,10,,0,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,55.3539612483092,13.4213247978412,2.5,,984.2,True,1,1,False,False,False,False,,False,False,False,Course Lock,98.4,31,16.4,18,,,,,Calm,False,False,iOS,4.3.64,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,216.3,2175.9,392.7,31.641516,9.171454,0,164,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,,iOS,4.3.64,111C2313-DD9C-4E0D-B5A9-A6F7704ADE73,0M63G820H1V008,0K8HFB801103C3,,0VELF7E10601P2,0P2AF8T534023X,55.3539833491175,13.4211793411548,6.0009,,
9/29/2024,3:00:44.24 PM,0m 0.6s,0.6,55.3539681556061,13.4213261417993,0,0,,0,0,0,0,0,0,0,0,0,0,2.8,0.3,-9.7,350.3,,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,True,,Mavic 2,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-14.7,345.3,False,False,False,False,False,True,,True,Needs Formatted,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,36,14.779,1025,2901,14.897,False,3.694,3.704,3.7,3.681,0.023,False,False,3.448,113.5,113.5,113.5,,1,,,10,5986.6,1535.04,,Idle,,25,,10,,0,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,55.3539612483092,13.4213247978412,2.5,,984.2,True,1,1,False,False,False,False,,False,False,False,Course Lock,98.4,31,16.4,18,,,,,Calm,False,False,iOS,4.3.64,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,216.3,2175.9,392.7,31.641516,9.171454,0,164,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,,iOS,4.3.64,111C2313-DD9C-4E0D-B5A9-A6F7704ADE73,0M63G820H1V008,0K8HFB801103C3,,0VELF7E10601P2,0P2AF8T534023X,55.3539833491175,13.4211793411548,6.0009,,
9/29/2024,3:00:44.34 PM,0m 0.7s,0.7,55.3539681523121,13.421326141967,0,0,,0,0,0,0,0,0,0,0,0,0,2.8,0.3,-9.7,350.3,,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,True,,Mavic 2,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-14.7,345.3,False,False,False,False,False,True,,True,Needs Formatted,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,36,14.779,1025,2901,14.897,False,3.694,3.704,3.7,3.681,0.023,False,False,3.448,113.5,113.5,113.5,,1,,,10,5986.6,1535.04,,Idle,,25,,10,,0,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,55.3539612483092,13.4213247978412,2.5,,984.2,True,1,1,False,False,False,False,,False,False,False,Course Lock,98.4,31,16.4,18,,,,,Calm,False,False,iOS,4.3.64,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,216.3,2175.9,392.7,31.641516,9.171454,0,164,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,,iOS,4.3.64,111C2313-DD9C-4E0D-B5A9-A6F7704ADE73,0M63G820H1V008,0K8HFB801103C3,,0VELF7E10601P2,0P2AF8T534023X,55.3539833491175,13.4211793411548,6.0009,,
9/29/2024,3:00:44.44 PM,0m 0.8s,0.8,55.3539681607506,13.4213261394184,0,0,,0,0,0,0,0,0,0,0,0,0,2.8,0.3,-9.6,350.4,,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,True,,Mavic 2,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-14.7,345.3,False,False,False,False,False,True,,True,Needs Formatted,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,36,14.779,1025,2901,14.897,False,3.694,3.704,3.7,3.681,0.023,False,False,3.448,113.5,113.5,113.5,,1,,,10,5986.6,1535.04,,Idle,,25,,10,,0,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,55.3539612483092,13.4213247978412,2.5,,984.2,True,1,1,False,False,False,False,,False,False,False,Course Lock,98.4,31,16.4,18,,,,,Calm,False,False,iOS,4.3.64,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,216.3,2175.9,392.7,31.641516,9.171454,0,164,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,,iOS,4.3.64,111C2313-DD9C-4E0D-B5A9-A6F7704ADE73,0M63G820H1V008,0K8HFB801103C3,,0VELF7E10601P2,0P2AF8T534023X,55.3539833491175,13.4211793411548,6.0009,,
9/29/2024,3:00:44.54 PM,0m 0.9s,0.9,55.3539681585532,13.4213261390586,0,0,,0,0,0,0,0,0,0,0,0,0,2.8,0.4,-9.8,350.2,,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,True,,Mavic 2,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-14.7,345.3,False,False,False,False,False,True,,True,Needs Formatted,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,36,14.779,1025,2901,14.897,False,3.694,3.704,3.7,3.681,0.023,False,False,3.448,113.5,113.5,113.5,,1,,,10,5986.6,1535.04,,Idle,,25,,10,,0,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,55.3539612483092,13.4213247978412,2.5,,984.2,True,1,1,False,False,False,False,,False,False,False,Course Lock,98.4,31,16.4,18,,,,,Calm,False,False,iOS,4.3.64,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,216.3,2175.9,392.7,31.641516,9.171454,0,164,Zoomster 2,0M63G820H1V008,0K8HFB801103C3,0VELF7E10601P2,0P2AF8T534023X,,iOS,4.3.64,111C2313-DD9C-4E0D-B5A9-A6F7704ADE73,0M63G820H1V008,0K8HFB801103C3,,0VELF7E10601P2,0P2AF8T534023X,55.3539833491175,13.4211793411548,6.0009,,
